AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
DOG,July,ALASKAN HUSKY - LABRADOR RETR,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,Owner Surrender
DOG,April,SHETLD SHEEPDOG - CHOW CHOW,Older than 1 year,FEMALE,true,MED,RED,Owner Surrender
DOG,October,,Older than 1 year,MALE,true,TOY,TAN,Stray
DOG,January,,Youth - Younger than 1 year,FEMALE,true,PUPPY,GRAY,Stray
DOG,February,GERM SHEPHERD - BEAGLE,Older than 1 year,MALE,true,SMALL,BLACK,Stray
DOG,December,,,FEMALE,false,LARGE,TAN,Stray
DOG,May,BOXER - PIT BULL,Infant - Younger than 6 months,MALE,true,PUPPY,BR BRINDLE,Owner Surrender
CAT,June,,,UNKNOWN,false,KITTN,GRAY TIGER,Stray
CAT,April,,Infant - Younger than 6 months,MALE,false,KITTN,BLK SMOKE,Owner Surrender
CAT,August,,Infant - Younger than 6 months,MALE,true,KITTN,ORG TABBY,Owner Surrender
DOG,July,CHIHUAHUA SH - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,BROWN,Owner Surrender
DOG,August,YORKSHIRE TERR - MIX,Older than 1 year,MALE,true,SMALL,BLACK,Stray
DOG,February,,,MALE,true,SMALL,BROWN,Stray
CAT,August,,,FEMALE,false,LARGE,GRAY,Stray
CAT,July,,Older than 1 year,UNKNOWN,false,LARGE,BRN TABBY,Stray
DOG,February,JACK RUSS TER - SHIH TZU,Older than 1 year,MALE,true,SMALL,WHITE,Stray
CAT,August,,,UNKNOWN,false,KITTN,GRAY TIGER,Stray
DOG,January,BEAGLE - MIX,Infant - Younger than 6 months,FEMALE,true,MED,BROWN,Stray
DOG,March,,Older than 1 year,MALE,true,LARGE,RED,Stray
DOG,September,,Older than 7 years,MALE,false,LARGE,BROWN,Stray
CAT,April,,,UNKNOWN,false,SMALL,BRN TABBY,Stray
CAT,August,,,FEMALE,false,KITTN,ORG TABBY,Owner Surrender
CAT,October,,,FEMALE,false,MED,BLACK,Stray
CAT,June,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,Foster Return
CAT,July,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,Stray
DOG,July,LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,true,PUPPY,BROWN,Owner Surrender
CAT,March,,,UNKNOWN,false,KITTN,GRAY,Stray
DOG,April,GERM SHEPHERD - COLLIE ROUGH,,MALE,false,PUPPY,BLACK,Foster Return
CAT,May,,,UNKNOWN,false,MED,BLACK,Stray
CAT,March,,Older than 1 year,FEMALE,false,MED,BLACK,Stray
DOG,August,LABRADOR RETR - MIX,Older than 1 year,FEMALE,true,LARGE,BLACK,Stray
DOG,February,,Older than 7 years,MALE,false,LARGE,BROWN,Stray
DOG,November,,Older than 1 year,MALE,false,X-LRG,WHITE,Owner Surrender
CAT,June,,,UNKNOWN,false,KITTN,GRAY TABBY,Stray
DOG,January,PEKINGESE - MIX,Youth - Younger than 1 year,FEMALE,false,SMALL,TAN,Stray
CAT,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,TORTIE,Owner Surrender
DOG,February,LABRADOR RETR - BERNESE MTN DOG,Infant - Younger than 6 months,FEMALE,false,PUPPY,TRICOLOR,Owner Surrender
DOG,May,PIT BULL - MIX,,FEMALE,false,MED,BR BRINDLE,Stray
CAT,January,,,FEMALE,false,MED,BLK TIGER,Stray
CAT,April,,,FEMALE,false,KITTN,GRAY TABBY,Stray
CAT,June,,,FEMALE,false,KITTN,WHITE,Stray
DOG,December,,Older than 1 year,MALE,false,LARGE,BLACK,Stray
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray
DOG,August,,Youth - Younger than 1 year,MALE,true,MED,TAN,Stray
CAT,April,,,FEMALE,false,KITTN,BRN TABBY,Owner Surrender
CAT,October,,Youth - Younger than 1 year,MALE,true,SMALL,GRAY TABBY,Foster Return
CAT,June,,,UNKNOWN,false,KITTN,ORANGE,Stray
DOG,February,,,FEMALE,false,MED,WHITE,Stray
CAT,June,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY TIGER,Owner Surrender
CAT,June,,,FEMALE,false,MED,BUFF,Stray
DOG,April,SCHNAUZER MIN - MIX,Older than 1 year,FEMALE,true,SMALL,BLACK,Stray
CAT,May,,,UNKNOWN,false,KITTN,ORANGE,Stray
CAT,December,MAINE COON - MIX,,FEMALE,false,MED,BRN TABBY,Stray
DOG,March,,Older than 1 year,FEMALE,true,MED,WHITE,Out Patient Spay or Neuter
CAT,May,,,UNKNOWN,false,MED,CHOCOLATE,Stray
CAT,September,,Older than 7 years,FEMALE,false,MED,BLACK,Owner Surrender
DOG,December,,Infant - Younger than 6 months,FEMALE,false,TOY,TAN,Stray
CAT,November,,,FEMALE,false,MED,BRN TABBY,Stray
DOG,November,CHIHUAHUA SH - MIX,Older than 1 year,FEMALE,true,SMALL,BROWN,Stray
